id,项目名称,网址,控制价,下浮率,基准价
A3311011160012968,松阳县赤寿产业区块凤山路邻里中心,http://lssggzy.lishui.gov.cn/art/2023/5/18/art_1229662157_211980.html,22151663.94,9.2,20113710.86
A3311011160012917,云和县2023年普通国道路基路面养护工程（交安设施）,http://lssggzy.lishui.gov.cn/art/2023/5/17/art_1229661989_211796.html,5029819.608,3,4878925.02
A3311011160012934,松阳县经济开发区配套设施项目（一期）-双创产业园二期,http://lssggzy.lishui.gov.cn/art/2023/5/17/art_1229662157_211738.html,93994832,6.5,87885167.92
A3311011160012908,青田县仁庄镇集镇道路网工程一期项目,http://lssggzy.lishui.gov.cn/art/2023/5/17/art_1229661956_211702.html,5755378.348,6.2,5398544.89
A3311011160012954,青田县欧洲城区块老旧小区改造及生活污水零直排工程,http://lssggzy.lishui.gov.cn/art/2023/5/17/art_1229661956_211847.html,10145709.06,10.5,9080409.61
A3311011160012930,青田侨乡农产品精深加工仓储园区二期项目,http://lssggzy.lishui.gov.cn/art/2023/5/17/art_1229661956_211863.html,0,7.2,0
A3311011160012922,庆元县2023年普通国道路基路面养护工程,http://lssggzy.lishui.gov.cn/art/2023/5/17/art_1229662056_211790.html,5431218.21,0,5431218.21
A3311011160012768,梯田展示馆设计采购施工（EPC）总承包,http://lssggzy.lishui.gov.cn/art/2023/5/17/art_1229661989_211730.html,0,0,0
A3311011160012897,遂昌县湖山集镇老旧小区改造项目——基础设施配套工程,http://lssggzy.lishui.gov.cn/art/2023/5/16/art_1229662124_211017.html,4895815.387,10.9,4362171.51
A3311011160012880,景宁畲族自治县职业高级中学整体迁建工程--空调设备采购与安装,http://lssggzy.lishui.gov.cn/art/2023/5/16/art_1229662190_211699.html,0,0,0
A3311011160012701,丽水经济技术开发区绿谷未来社区项目（标段二）EPC总承包,http://lssggzy.lishui.gov.cn/art/2023/5/16/art_1229661812_211577.html,0,0,0
A3311011160012920,庆元县基层医疗卫生服务体系提升工程—隆宫乡卫生院迁建工程,http://lssggzy.lishui.gov.cn/art/2023/5/16/art_1229662056_211707.html,5896197.335,7.3,5465774.93
A3311011160012848,青田县东山老村区块生活污水零直排工程,http://lssggzy.lishui.gov.cn/art/2023/5/15/art_1229661956_211524.html,4689001.987,8.9,4271680.81
A3311011160012917,云和县2023年普通国道路基路面养护工程,http://lssggzy.lishui.gov.cn/art/2023/5/15/art_1229661989_211486.html,13581743.27,0,13581743.27
A3311011160012884,东源镇红光村精品花园乡村建设项目,http://lssggzy.lishui.gov.cn/art/2023/5/15/art_1229661956_211553.html,9689877.264,11.9,8536781.87
A3311011160012918,缙云县县城建成区“污水零直排区”建设工程—白云路片区污水零直排工程,http://lssggzy.lishui.gov.cn/art/2023/5/15/art_1229662089_211424.html,5776296.719,10.4,5175561.86
A3311011160012872,莲都区港口砂石料基地项目,http://lssggzy.lishui.gov.cn/art/2023/5/12/art_1229661852_211341.html,54280270.04,8.6,49612166.82
A3311011160012795,庆元县屏都综合新区生物科技（食用菌）产业园工程——企业服务综合体空调设备采购与安装项目,http://lssggzy.lishui.gov.cn/art/2023/5/12/art_1229662056_211379.html,0,0,0
A3311011160012859,青田县三溪口中学新建项目监理,http://lssggzy.lishui.gov.cn/art/2023/5/11/art_1229661956_211249.html,3984000,0,3984000
A3311011160012874,丽水生态产业集聚区松阳赤寿至卯山公路工程（龙下至源口段）第1标段,http://lssggzy.lishui.gov.cn/art/2023/5/10/art_1229662157_210970.html,161105163.5,0,161105163.5
A3311011160012869,青田县滨江花园小区生活污水零直排工程,http://lssggzy.lishui.gov.cn/art/2023/5/10/art_1229661956_211068.html,11419340.9,10.7,10197471.42
A3311011160012875,澄照乡“大搬快聚?富民安居工程”旭阳安置点建设项目（一期）,http://lssggzy.lishui.gov.cn/art/2023/5/10/art_1229662190_211133.html,50645666.64,7.4,46897887.31
A3311011160012874,丽水生态产业集聚区松阳赤寿至卯山公路工程（龙下至源口段）第JL1标段施工监理,http://lssggzy.lishui.gov.cn/art/2023/5/10/art_1229662157_211132.html,2640906.86,0,2640906.86
A3311011160012559,黄塘窑周边地块基础设施项目,http://lssggzy.lishui.gov.cn/art/2023/5/10/art_1229661852_211080.html,27326623,9.4,24757920.44
A3311011160012862,青田县水南村生活污水零直排工程,http://lssggzy.lishui.gov.cn/art/2023/5/10/art_1229661956_211138.html,0,7.4,0
A3311011160012900,庆元县“全域污水零直排”创建项目（二期）-松源街道区块,http://lssggzy.lishui.gov.cn/art/2023/5/9/art_1229662056_210955.html,15696464,9.9,14142514.06
A3311011160012914,景宁畲族自治县小溪流域综合治理工程（一期）大均段等-毛垟雁溪鸬鹚段,http://lssggzy.lishui.gov.cn/art/2023/5/9/art_1229662190_210957.html,29451509.41,0,29451509.41
A3311011160012854,青田县朝阳小区生活污水零直排工程,http://lssggzy.lishui.gov.cn/art/2023/5/9/art_1229661956_210928.html,0,9.7,0
A3311011160012850,青田县粮食区块生活污水零直排工程,http://lssggzy.lishui.gov.cn/art/2023/5/9/art_1229661956_210904.html,13988770.93,10.7,12491972.44
