序号,id,项目名称,网址,zbkzj,下浮率,kbjj,投标单位数量,city,province
55,A3311011160012953,缙云县乡镇街道生态公墓建设工程-三溪乡骨灰堂室及附属工程,http://lssggzy.lishui.gov.cn/art/2023/5/22/art_1229662089_212323.html,5656362.053,5.5,5345262.14,50,丽水市,安徽省
56,A3311011160012933,青田县白浦村和美乡村建设基础设施提升改造项目(一期),http://lssggzy.lishui.gov.cn/art/2023/5/22/art_1229661956_212331.html,7476844.145,8.8,6818881.86,228,丽水市,安徽省
57,A3311011160012961,缙云县乡镇街道生态公墓建设工程-石笕乡生态公墓建设工程,http://lssggzy.lishui.gov.cn/art/2023/5/22/art_1229662089_212113.html,5712091.19,5.9,5375077.81,53,丽水市,安徽省
58,A3311011160012924,青田县山茶油仓储及研发中心建设项目,http://lssggzy.lishui.gov.cn/art/2023/5/22/art_1229661956_212304.html,13423500.11,9.6,12134844.1,119,丽水市,安徽省
59,A3311011160012962,青田县石郭小学新建工程,http://lssggzy.lishui.gov.cn/art/2023/5/19/art_1229661956_212134.html,119054849,9.2,108101802.9,49,丽水市,安徽省
60,A3311011160012929,丽水南城七百秧D-27地块配建七百秧支路,http://lssggzy.lishui.gov.cn/art/2023/5/19/art_1229661812_212074.html,10372316,6.8,9666998.51,219,丽水市,安徽省
61,A3311011160012937,云和县紧水滩镇中心卫生院拆建项目,http://lssggzy.lishui.gov.cn/art/2023/5/18/art_1229661989_211972.html,3974597.324,6.2,3728172.29,19,丽水市,安徽省
62,A3311011160012889,第九批历史文化（传统）村落保护利用重点村建设—遂昌县蔡源乡蔡和村（二期）,http://lssggzy.lishui.gov.cn/art/2023/5/18/art_1229662124_211974.html,3813770.385,9.1,3466717.28,91,丽水市,安徽省
63,A3311011160012879,青田县华隆区块老旧小区改造及污水零直排工程,http://lssggzy.lishui.gov.cn/art/2023/5/18/art_1229661956_211978.html,14073067.6,6.5,13158318.21,225,丽水市,安徽省
64,A3311011160012968,松阳县赤寿产业区块凤山路邻里中心,http://lssggzy.lishui.gov.cn/art/2023/5/18/art_1229662157_211980.html,22151663.94,9.2,20113710.86,179,丽水市,安徽省
65,A3311011160012917,云和县2023年普通国道路基路面养护工程（交安设施）,http://lssggzy.lishui.gov.cn/art/2023/5/17/art_1229661989_211796.html,5029819.608,3,4878925.02,7,丽水市,安徽省
66,A3311011160012934,松阳县经济开发区配套设施项目（一期）-双创产业园二期,http://lssggzy.lishui.gov.cn/art/2023/5/17/art_1229662157_211738.html,93994832,6.5,87885167.92,163,丽水市,安徽省
67,A3311011160012954,青田县欧洲城区块老旧小区改造及生活污水零直排工程,http://lssggzy.lishui.gov.cn/art/2023/5/17/art_1229661956_211847.html,10145709.06,10.5,9080409.61,226,丽水市,安徽省
68,A3311011160012908,青田县仁庄镇集镇道路网工程一期项目,http://lssggzy.lishui.gov.cn/art/2023/5/17/art_1229661956_211702.html,5755378.348,6.2,5398544.89,116,丽水市,安徽省
69,A3311011160012897,遂昌县湖山集镇老旧小区改造项目——基础设施配套工程,http://lssggzy.lishui.gov.cn/art/2023/5/16/art_1229662124_211017.html,4895815.387,10.9,4362171.51,150,丽水市,安徽省
70,A3311011160012920,庆元县基层医疗卫生服务体系提升工程—隆宫乡卫生院迁建工程,http://lssggzy.lishui.gov.cn/art/2023/5/16/art_1229662056_211707.html,5896197.335,7.3,5465774.93,54,丽水市,安徽省
71,A3311011160012848,青田县东山老村区块生活污水零直排工程,http://lssggzy.lishui.gov.cn/art/2023/5/15/art_1229661956_211524.html,4689001.987,8.9,4271680.81,110,丽水市,安徽省
72,A3311011160012884,东源镇红光村精品花园乡村建设项目,http://lssggzy.lishui.gov.cn/art/2023/5/15/art_1229661956_211553.html,9689877.264,11.9,8536781.87,139,丽水市,安徽省
73,A3311011160012918,缙云县县城建成区“污水零直排区”建设工程—白云路片区污水零直排工程,http://lssggzy.lishui.gov.cn/art/2023/5/15/art_1229662089_211424.html,5776296.719,10.4,5175561.86,126,丽水市,安徽省
74,A3311011160012872,莲都区港口砂石料基地项目,http://lssggzy.lishui.gov.cn/art/2023/5/12/art_1229661852_211341.html,54280270.04,8.6,49612166.82,164,丽水市,安徽省
75,A3311011160012869,青田县滨江花园小区生活污水零直排工程,http://lssggzy.lishui.gov.cn/art/2023/5/10/art_1229661956_211068.html,11419340.9,10.7,10197471.42,234,丽水市,安徽省
76,A3311011160012875,澄照乡“大搬快聚?富民安居工程”旭阳安置点建设项目（一期）,http://lssggzy.lishui.gov.cn/art/2023/5/10/art_1229662190_211133.html,50645666.64,7.4,46897887.31,210,丽水市,安徽省
77,A3311011160012559,黄塘窑周边地块基础设施项目,http://lssggzy.lishui.gov.cn/art/2023/5/10/art_1229661852_211080.html,27326623,9.4,24757920.44,234,丽水市,安徽省
78,A3311011160012900,庆元县“全域污水零直排”创建项目（二期）-松源街道区块,http://lssggzy.lishui.gov.cn/art/2023/5/9/art_1229662056_210955.html,15696464,9.9,14142514.06,195,丽水市,安徽省
79,A3311011160012850,青田县粮食区块生活污水零直排工程,http://lssggzy.lishui.gov.cn/art/2023/5/9/art_1229661956_210904.html,13988770.93,10.7,12491972.44,234,丽水市,安徽省
80,A3311011160012866,青田县泥湾新村生活污水零直排工程,http://lssggzy.lishui.gov.cn/art/2023/5/9/art_1229661956_210905.html,10347393.91,8.8,9436823.25,220,丽水市,安徽省
