项目名称,网址,项目类型,项目所在地,zbkzj,下浮率,kbjj,投标单位数量,开标时间
北乡片区乡村振兴创新示范基地核心区项目设计,http://lssggzy.lishui.gov.cn/art/2023/10/16/art_1229661852_235741.html,房屋建筑,莲都,0,0,0,6,2023/10/16
丽水东西岩客运综合交通枢纽工程,http://lssggzy.lishui.gov.cn/art/2023/10/16/art_1229661852_235782.html,房屋建筑,莲都,0,0,0,29,2023/10/16
景宁县“大搬快聚富民安居”工程张春安置小区C—01项目EPC总承包,http://lssggzy.lishui.gov.cn/art/2023/10/16/art_1229662190_235785.html,房屋建筑,景宁,0,0,0,12,2023/10/16
缙云县乡镇街道生态公墓建设工程-仙都片区生态公墓建设工程,http://lssggzy.lishui.gov.cn/art/2023/10/16/art_1229662089_235734.html,市政基础设施工程,缙云,19381811.39,6.8,18063848.22,101,2023/10/16
龙泉市宝剑制造及产业化项目-基础设施配套工程,http://lssggzy.lishui.gov.cn/art/2023/10/16/art_1229661923_234536.html,市政基础设施工程,龙泉,0,0,0,13,2023/10/16
缙云县第二职业高中工程及缙云县第二职业高中周边边坡防护工程监理,http://lssggzy.lishui.gov.cn/art/2023/10/17/art_1229662089_236098.html,房屋建筑工程,缙云,2109500,0,2109500,8,2023/10/17
临安至苍南公路莲都太平至联城段改建工程（一期）设计施工总承包,http://lssggzy.lishui.gov.cn/art/2023/10/17/art_1229661812_235809.html,交通,丽水,113231681,0,113231681,7,2023/10/17
遂昌县湖山乡奕山村平岗垦造耕地项目,http://lssggzy.lishui.gov.cn/art/2023/10/17/art_1229662124_236096.html,国土资源工程,遂昌,21194070.67,11.4,18777946.61,269,2023/10/17
莲都区老竹镇梁村村前山垦造耕地项目,http://lssggzy.lishui.gov.cn/art/2023/10/17/art_1229661852_235999.html,国土资源,莲都,0,0,0,7,2023/10/17
青田县大路源左岸康畈桥至液化气站段防洪堤二期工程,http://lssggzy.lishui.gov.cn/art/2023/10/17/art_1229661956_235994.html,水利工程,青田,3662052.09,0,3662052.09,58,2023/10/17
丽水南城生物医药加速器科技楼装修项目,http://lssggzy.lishui.gov.cn/art/2023/10/17/art_1229661812_235832.html,房屋建筑,丽水,21129204,15.3,17896435.79,116,2023/10/17
2023年景宁县农村公路危旧桥改造工程,http://lssggzy.lishui.gov.cn/art/2023/10/17/art_1229662190_236081.html,交通工程,景宁,1449961.908,2,1420962.67,18,2023/10/17
遂昌县高铁新城区块市政配套路网工程设计,http://lssggzy.lishui.gov.cn/art/2023/10/18/art_1229662124_236382.html,房屋建筑,遂昌,0,0,0,8,2023/10/18
丽水南城生态停车场改造提升项目-白莲路生态停车场及配套工程,http://lssggzy.lishui.gov.cn/art/2023/10/18/art_1229661812_236355.html,房屋建筑,丽水,28445125,4.2,27250429.75,184,2023/10/18
莲都区老竹镇徐庄村红旗二号垦造耕地项目,http://lssggzy.lishui.gov.cn/art/2023/10/18/art_1229661852_236360.html,国土资源,莲都,0,0,0,7,2023/10/18
遂昌县经开区市政基础设施提升工程设计,http://lssggzy.lishui.gov.cn/art/2023/10/18/art_1229662124_236370.html,市政基础设施工程,遂昌,0,0,0,11,2023/10/18
长江经济带瓯江干流（市本级段）流域保护及修复工程—丽水市城市内河整治提升工程（一期）Ⅱ标段,http://lssggzy.lishui.gov.cn/art/2023/10/18/art_1229661812_236368.html,6,丽水,30326763.71,0,30326763.71,331,2023/10/18
塔腊公路路灯建设项目（莲都段）,http://lssggzy.lishui.gov.cn/art/2023/10/18/art_1229661812_236358.html,交通,丽水,5344374.062,9.9,4815281.03,153,2023/10/18
S218安吉至龙港公路缙云方溪至青田季宅段公路工程（青田段）招标代理和造价咨询机构服务,http://lssggzy.lishui.gov.cn/art/2023/10/18/art_1229661956_236369.html,交通工程,青田,50,0,50,5,2023/10/18
国家级分子育种创新服务平台(长三角)分中心一期项目监理,http://lssggzy.lishui.gov.cn/art/2023/10/18/art_1229661852_236085.html,农业,莲都,592183,0,592183,13,2023/10/18
金湖佳苑周边配套路网工程,http://lssggzy.lishui.gov.cn/art/2023/10/18/art_1229661852_236357.html,1基础设施,莲都,0,7.1,0,143,2023/10/18
丽水东西岩客运综合交通枢纽连接线工程施工监理,http://lssggzy.lishui.gov.cn/art/2023/10/18/art_1229661852_236306.html,交通,莲都,1080397.4,0,1080397.4,7,2023/10/18
云和县大坪安置区道路工程（二标段）,http://lssggzy.lishui.gov.cn/art/2023/10/18/art_1229661989_236124.html,市政基础设施工程,云和,0,0,0,16,2023/10/18
遂昌县乌溪江流域周公源综合治理工程V标段,http://lssggzy.lishui.gov.cn/art/2023/10/19/art_1229662124_236628.html,水利工程,遂昌,13622259.83,0,13622259.83,157,2023/10/19
庆元县“全域污水零直排区”创建项目（二期）-濛洲街道区块,http://lssggzy.lishui.gov.cn/art/2023/10/19/art_1229662056_236600.html,市政基础设施工程,庆元,18820924,7,17503459.32,257,2023/10/19
云和县崇头镇梅竹村叶家南侧冲沟风险防范区治理工程,http://lssggzy.lishui.gov.cn/art/2023/10/19/art_1229661989_236646.html,国土资源工程,云和,18176595.39,10.6,16249876.28,21,2023/10/19
龙泉市城市行道树提质换景工程（标段一）,http://lssggzy.lishui.gov.cn/art/2023/10/19/art_1229661923_236564.html,市政基础设施工程,龙泉,5559628.004,10.8,4959188.18,112,2023/10/19
龙泉市华楼街（新华街段至环城东路段）提升改造工程,http://lssggzy.lishui.gov.cn/art/2023/10/20/art_1229661923_236958.html,市政基础设施工程,龙泉,0,0,0,42,2023/10/20
龙泉市城区“两拆两绿”“金角银边”提升改造工程（二期）,http://lssggzy.lishui.gov.cn/art/2023/10/23/art_1229661923_237079.html,市政基础设施工程,龙泉,0,0,0,31,2023/10/23
龙泉市城市行道树提质换景工程（标段二）,http://lssggzy.lishui.gov.cn/art/2023/10/23/art_1229661923_237086.html,市政基础设施工程,龙泉,7523394.004,10.1,6763531.21,153,2023/10/23
丽水经济技术开发区危险化学品停车场工程（二期）,http://lssggzy.lishui.gov.cn/art/2023/10/23/art_1229661812_237158.html,房屋建筑,丽水,20115375,12.4,17621068.5,188,2023/10/23
龙泉市中医医院迁建工程-室外附属,http://lssggzy.lishui.gov.cn/art/2023/10/24/art_1229661923_236620.html,市政基础设施工程,龙泉,0,0,0,44,2023/10/24
遂昌县东城医院项目,http://lssggzy.lishui.gov.cn/art/2023/10/25/art_1229662124_238889.html,房屋建筑工程,遂昌,0,0,0,73,2023/10/25
景宁畲族自治县双港水库及供水工程项目（泄洪渠工程标段）,http://lssggzy.lishui.gov.cn/art/2023/10/25/art_1229662190_238764.html,水利工程,景宁,0,0,0,19,2023/10/25
元和街道大搬快聚沈岸安置小区附属配套-排水与弱电（通讯）工程,http://lssggzy.lishui.gov.cn/art/2023/10/26/art_1229661989_239131.html,市政基础设施工程,云和,2946212.462,15.1,2501334.38,62,2023/10/26
庆元县“全域污水零直排区”创建项目（二期）-同济新村南区块,http://lssggzy.lishui.gov.cn/art/2023/10/26/art_1229662056_238947.html,市政基础设施工程,庆元,0,0,0,56,2023/10/26
龙泉市凤起路区块拆迁安置房项目设计采购施工（EPC）总承包,http://lssggzy.lishui.gov.cn/art/2023/10/26/art_1229661923_239190.html,房屋建筑工程,龙泉,0,0,0,12,2023/10/26
庆元县低碳农业产业园光伏项目二期,http://lssggzy.lishui.gov.cn/art/2023/10/27/art_1229662056_239467.html,房屋建筑工程,庆元,1687548,8,1552544.16,4,2023/10/27
庆元县人民医院迁建工程-智能化工程,http://lssggzy.lishui.gov.cn/art/2023/10/27/art_1229662056_239203.html,房屋建筑工程,庆元,42458202,11.4,37617966.97,26,2023/10/27
莲都学校（莲都小学）扩建工程,http://lssggzy.lishui.gov.cn/art/2023/10/27/art_1229661852_239356.html,房屋建筑,莲都,9180008.004,4.8,8739367.62,139,2023/10/27
青田县海口至海溪公路改建工程施工监理,http://lssggzy.lishui.gov.cn/art/2023/10/27/art_1229661956_236630.html,交通工程,青田,1733046.91,0,1733046.91,12,2023/10/27
缙云文娱人才科创大楼EPC+O项目,http://lssggzy.lishui.gov.cn/art/2023/10/29/art_1229662089_239505.html,房屋建筑工程,缙云,179909100,4,172712736,5,2023/10/29
S218安吉至龙港公路缙云方溪至青田季宅段公路工程(缙云段)设计施工总承包,http://lssggzy.lishui.gov.cn/art/2023/10/30/art_1229661812_239521.html,交通,丽水,691095151.5,0,691095151.5,10,2023/10/30
